epoch,train_loss,val_loss,val_macro_f1,val_accuracy,val_nll,val_ece
1,0.8682864420311989,0.7814697470032231,0.6530450409536613,0.6542369437106279,0.7814697491771991,0.023556017907163388
2,0.7435668312662652,0.7219955149619373,0.6905699509311183,0.6907132696606381,0.7219955134649404,0.013769419294163329
3,0.6726492523275153,0.685400383510233,0.7091949118340558,0.711847185531396,0.6854003822101388,0.030631335503297757
4,0.607458376888605,0.65567986083646,0.7297089658900612,0.7294249136354399,0.6556798522378258,0.02138625817239782
5,0.5478787755408491,0.6498345517453273,0.7366182200414273,0.737654948181264,0.6498345510015778,0.04698889384459151
6,0.49778057638174894,0.6543735707952006,0.7389915236596463,0.7404998983946353,0.6543735702338622,0.06268915050132952
