model_name,seed,split_name,calibrated,temperature,split,accuracy,macro_f1,f1_entailment,f1_neutral,f1_contradiction,nll,brier,ece,mce,confusion_matrix,binary_f1
compact,17,snli_test,False,,snli_test,0.7427728013029316,0.7413923791242788,0.7803392779469335,0.6858780448973093,0.7579598145285935,0.6648248299494417,0.36730932232866276,0.06056100334547436,0.09714280589046131,"[[2691, 413, 264], [548, 2154, 517], [290, 495, 2452]]",
compact,17,snli_test,True,1.1865986585617065,snli_test,0.7427728013029316,0.7413923791242788,0.7803392779469335,0.6858780448973093,0.7579598145285935,0.6425290974991803,0.3623699188082457,0.02805160596384288,0.05202829463711345,"[[2691, 413, 264], [548, 2154, 517], [290, 495, 2452]]",
compact,17,mnli_matched,False,,mnli_matched,0.42526744778400405,0.419629648966979,0.3581704168203615,0.4540180224663622,0.4467005076142132,1.6267804265621568,0.8274932657630956,0.30870299154377323,0.48326433584224376,"[[971, 1767, 741], [495, 1839, 789], [477, 1372, 1364]]",
compact,17,mnli_matched,True,1.1865986585617065,mnli_matched,0.42526744778400405,0.419629648966979,0.3581704168203615,0.4540180224663622,0.4467005076142132,1.4735062823234362,0.7949486705670702,0.27416325885303394,0.4530702401057417,"[[971, 1767, 741], [495, 1839, 789], [477, 1372, 1364]]",
compact,17,mnli_mismatched,False,,mnli_mismatched,0.42768510984540276,0.4205787074920771,0.33667865934482105,0.45306270387821673,0.47199475925319356,1.5708729856703132,0.8172365348669426,0.30460722337077556,0.46370364232577355,"[[889, 1869, 705], [534, 1875, 720], [395, 1404, 1441]]",
compact,17,mnli_mismatched,True,1.1865986585617065,mnli_mismatched,0.42768510984540276,0.4205787074920771,0.33667865934482105,0.45306270387821673,0.47199475925319356,1.4275927753531434,0.7842158139716482,0.269441305657438,0.4357264437464189,"[[889, 1869, 705], [534, 1875, 720], [395, 1404, 1441]]",
compact,17,hans,False,,hans,0.4939,,,,,1.1268789532028918,0.7159037391448939,0.295639879288276,0.47170552542043287,"[[7018, 7982], [7201, 7799]]",0.5067411715019006
compact,17,hans,True,1.1865986585617065,hans,0.49456666666666665,,,,,1.0229757548345453,0.6825167408800478,0.2670511113325755,0.4594622017134442,"[[7297, 7703], [7460, 7540]]",0.49862778163541976
compact,42,snli_test,False,,snli_test,0.7537662866449512,0.7519854573540781,0.7928231006447995,0.6998405103668262,0.7632927610506086,0.6335992976841257,0.35412851348318114,0.05254493779062932,0.0883553758104122,"[[2828, 355, 185], [586, 2194, 439], [352, 502, 2383]]",
compact,42,snli_test,True,1.1761538982391357,snli_test,0.7537662866449512,0.7519854573540781,0.7928231006447995,0.6998405103668262,0.7632927610506086,0.6166010344769973,0.3496949742020773,0.025238009200034012,0.04452849104559631,"[[2828, 355, 185], [586, 2194, 439], [352, 502, 2383]]",
compact,42,mnli_matched,False,,mnli_matched,0.45206316861946,0.45082667416280237,0.43672939649578196,0.4665102945009122,0.4492403314917127,1.445592916362553,0.7711727882586628,0.26253262780724407,0.4423523656634115,"[[1346, 1526, 607], [662, 1790, 671], [677, 1235, 1301]]",
compact,42,mnli_matched,True,1.1761538982391357,mnli_matched,0.45206316861946,0.45082667416280237,0.43672939649578196,0.4665102945009122,0.4492403314917127,1.332962936695497,0.7436862673655504,0.22869116867371986,0.42231890135155414,"[[1346, 1526, 607], [662, 1790, 671], [677, 1235, 1301]]",
compact,42,mnli_mismatched,False,,mnli_mismatched,0.4576891781936534,0.45804148996866617,0.4450612244897959,0.45744138634046894,0.4716218590757336,1.3861357301806225,0.7535138480624131,0.25429203896271785,0.41617946339835177,"[[1363, 1611, 489], [714, 1795, 620], [585, 1313, 1342]]",
compact,42,mnli_mismatched,True,1.1761538982391357,mnli_mismatched,0.4576891781936534,0.45804148996866617,0.4450612244897959,0.45744138634046894,0.4716218590757336,1.2835194761761135,0.7266578498806525,0.22070449951996737,0.3936778944141971,"[[1363, 1611, 489], [714, 1795, 620], [585, 1313, 1342]]",
compact,42,hans,False,,hans,0.4991333333333333,,,,,0.98046877330067,0.6671965455004362,0.2542215684115887,0.44934092207791354,"[[4210, 10790], [4236, 10764]]",0.5889369152486732
