model_name,split_name,calibrated,accuracy__mean,accuracy__std,binary_f1__mean,binary_f1__std,nll__mean,nll__std,brier__mean,brier__std,ece__mean,ece__std,mce__mean,mce__std
bert,hans,False,0.5871777777777778,0.02134440684825192,0.7058033772130541,0.011504083065097906,1.306073836680852,0.03375606717763266,0.7225254494338796,0.024825416718749348,0.3542807546456655,0.013430357058513564,0.5629047749201539,0.026738342481422466
bert,hans,True,0.5889888888888889,0.021764556644368552,0.706570770576732,0.011780015695831729,1.0822812442116503,0.026497507873304352,0.6747159838129525,0.020765436346374525,0.32397643511891366,0.01240879059014993,0.5258778318028137,0.04413361248866708
compact,hans,False,0.4942666666666667,0.004694086113871831,0.533718043691947,0.04782512905044721,1.0929307553795813,0.09991144045279063,0.7020520205107399,0.03039680928339631,0.28217058694097735,0.02420983212871793,0.47218663144535306,0.023090021826082774
compact,hans,True,0.49385555555555555,0.004641040751734375,0.5257906083493653,0.04858088222693848,0.9950685420841249,0.08011454006888029,0.6687378661945762,0.029786639227824697,0.25324517963197496,0.02548581167769211,0.46609673464682094,0.02242999318417569
