model_name,split_name,calibrated,accuracy__mean,accuracy__std,macro_f1__mean,macro_f1__std,f1_entailment__mean,f1_entailment__std,f1_neutral__mean,f1_neutral__std,f1_contradiction__mean,f1_contradiction__std,nll__mean,nll__std,brier__mean,brier__std,ece__mean,ece__std,mce__mean,mce__std,snli_accuracy,snli_macro_f1,snli_nll,snli_brier,snli_ece,delta_accuracy,delta_macro_f1,delta_nll,delta_brier,delta_ece
bert,mnli_matched,True,0.7442350144336899,0.007164131800192156,0.7419330050480991,0.006775004385767526,0.7830720663019634,0.012591062628446807,0.6860123442226361,0.0029712006044749295,0.7567146046196976,0.008560051138847115,0.6875350337904432,0.0020895802737997946,0.37328634584942605,0.005472475981045712,0.09006064024273579,0.00911466798566767,0.14862301565418293,0.01602901812644468,0.9051981541802387,0.9049411853512049,0.2819446444910277,0.14707607418658372,0.025085002015042435,-0.16096313974654886,-0.16300818030310582,0.40559038929941554,0.22621027166284233,0.06497563822769335
bert,mnli_mismatched,True,0.7419311093029562,0.011757074787931063,0.7383521494222833,0.012014239293570917,0.7808929087217935,0.012445915494148252,0.6715575932479433,0.015193216686158131,0.762605946297113,0.009405762638354766,0.6970098492219067,0.01242155885510324,0.37979034835570014,0.0069433485685661284,0.09812386762345747,0.007224090767230709,0.17416463417872355,0.016975546268323618,0.9051981541802387,0.9049411853512049,0.2819446444910277,0.14707607418658372,0.025085002015042435,-0.1632670448772825,-0.1665890359289216,0.415065204730879,0.23271427416911641,0.07303886560841504
compact,mnli_matched,True,0.43980302258447956,0.013542003021084216,0.43680618566086354,0.01583616353191711,0.4103812117973087,0.04521652662161202,0.45945723316805903,0.006400593764727043,0.44058011201722264,0.012863227151482628,1.3707739547090947,0.08999550172247663,0.7599561773356013,0.030329191194035206,0.24509373186885205,0.025244142390735712,0.4278434291326609,0.022968373495444918,0.7512554288816503,0.7497387771764266,0.6202608581340876,0.35138123988084774,0.02741866564452972,-0.31145240629717075,-0.312932591515563,0.7505130965750071,0.40857493745475354,0.21767506622432234
compact,mnli_mismatched,True,0.44687415242744777,0.016662957348129868,0.44430614814313363,0.020633626606254535,0.4033804822000107,0.058362967379550934,0.45829683559780227,0.005710119296665158,0.47124112663158785,0.0009999258534439056,1.3261344290284889,0.08823937670019309,0.7445796875293281,0.03437822800749675,0.23512060318474592,0.02984901771245316,0.40212396445142556,0.030276291389372514,0.7512554288816503,0.7497387771764266,0.6202608581340876,0.35138123988084774,0.02741866564452972,-0.30438127645420254,-0.30543262903329294,0.7058735708944013,0.3931984476484804,0.2077019375402162
