model_name,split_name,calibrated,score_name,coverage_target,accuracy__mean,accuracy__std,macro_f1__mean,macro_f1__std
bert,mnli_mismatched,False,margin,0.8,0.8050258496482753,0.009262434525974406,0.7978375190346186,0.009574468919216407
bert,mnli_mismatched,False,margin,0.9,0.7736844087844202,0.010741226140051565,0.7685218405388153,0.011153900872004543
bert,mnli_mismatched,False,margin,0.95,0.7579131427755773,0.012042766423182246,0.7535447112275594,0.012397549431860045
bert,mnli_mismatched,False,max_softmax,0.7,0.8355852583660225,0.00784586464209714,0.8259970585204187,0.008076336922437696
bert,mnli_mismatched,False,max_softmax,0.8,0.8055343673192644,0.008747329257789663,0.7983726504875257,0.008957577361470728
bert,mnli_mismatched,False,max_softmax,0.9,0.7742871134214789,0.01094031100331675,0.7692414534106581,0.011451302914891963
bert,mnli_mismatched,False,max_softmax,0.95,0.7587695821289655,0.012266706244545471,0.7545840619249957,0.012699508618011746
bert,mnli_mismatched,True,entropy,0.7,0.8374255411884354,0.007216170819809781,0.8274421828794445,0.007069419669793382
bert,mnli_mismatched,True,entropy,0.8,0.8056191202644292,0.010994306106330724,0.798464372210509,0.011504500404115362
bert,mnli_mismatched,True,entropy,0.9,0.7749274870983539,0.012036893972165542,0.7704242701293121,0.01253204480329108
bert,mnli_mismatched,True,entropy,0.95,0.7594832815901223,0.01230541851440527,0.7556255995583882,0.012843575073182383
bert,mnli_mismatched,True,margin,0.7,0.835246258898736,0.007691902654045654,0.8259237809572446,0.008143134971217497
bert,mnli_mismatched,True,margin,0.8,0.8048139672853631,0.00930769099017121,0.7976390630446782,0.009598700291501824
bert,mnli_mismatched,True,margin,0.9,0.7738350849436847,0.010900550602339357,0.7686855398077785,0.011325641823560393
bert,mnli_mismatched,True,margin,0.95,0.7579131427755773,0.012042766423182246,0.7535430480446399,0.012400202642395806
bert,mnli_mismatched,True,max_softmax,0.7,0.8358274008426557,0.0069205319563065675,0.8261404093827718,0.007104724817886305
bert,mnli_mismatched,True,max_softmax,0.8,0.8055767437918467,0.008794317794796698,0.7983995499086035,0.009075792344914822
bert,mnli_mismatched,True,max_softmax,0.9,0.7747391418992731,0.011498069477717813,0.7697051354064488,0.012041586379277918
bert,mnli_mismatched,True,max_softmax,0.95,0.7591264318595439,0.012148257134124728,0.7550712239261778,0.012549199384437612
bert,snli_test,False,entropy,0.7,0.9699966070476468,0.0013820539410967017,0.9686674924561173,0.0015003880550763233
bert,snli_test,False,entropy,0.8,0.9612383375742155,0.002284178627564921,0.960106770215189,0.0022167538112287627
bert,snli_test,False,entropy,0.9,0.9421322476061222,0.0024159647093436043,0.9413382856488699,0.002356819633512191
bert,snli_test,False,entropy,0.95,0.9258544948033859,0.002695756053875367,0.9252955606341414,0.002669869655951933
bert,snli_test,False,margin,0.7,0.9701904900392613,0.0012593069707494933,0.9689368645871,0.0012911632757610751
bert,snli_test,False,margin,0.8,0.9604325699745547,0.0018741628323990242,0.9593574475873532,0.001817799655593711
bert,snli_test,False,margin,0.9,0.9416421624066954,0.002907704169233752,0.9408546543017624,0.0028944243976879854
bert,snli_test,False,margin,0.95,0.9251044680167149,0.002888989341629168,0.9245120702096453,0.002837611798827035
bert,snli_test,False,max_softmax,0.7,0.9701420192913576,0.0011753531726995548,0.9688624861108369,0.001269181007968913
bert,snli_test,False,max_softmax,0.8,0.9608142493638677,0.001958626503605728,0.9597107037686291,0.00190036981607141
bert,snli_test,False,max_softmax,0.9,0.9419437532986503,0.002672368031131315,0.9411592101050728,0.0026337143817646625
bert,snli_test,False,max_softmax,0.95,0.9251758991392549,0.002853671110459418,0.92458311077933,0.0028042376516871515
bert,snli_test,True,entropy,0.7,0.9702874315350686,0.0015548460988168487,0.9689059101836337,0.0016584827365360478
bert,snli_test,True,entropy,0.8,0.9612383375742155,0.002145316347742419,0.9600414373976333,0.002069986093419688
bert,snli_test,True,entropy,0.9,0.9425469350825605,0.002270398088654631,0.941730038269553,0.0022261862056703985
bert,snli_test,True,entropy,0.95,0.9262116504160863,0.002538570040918144,0.9256765129777346,0.0025061212926451196
bert,snli_test,True,margin,0.7,0.9701420192913576,0.0012194993578022435,0.9688730701530615,0.0012558515457636314
bert,snli_test,True,margin,0.8,0.9604325699745546,0.0019995208200384125,0.9593499174060515,0.0019410239705009054
bert,snli_test,True,margin,0.9,0.9416421624066954,0.00280013987856593,0.9408520867074405,0.0027814823055059817
bert,snli_test,True,margin,0.95,0.9250687524554447,0.0028637110304512324,0.92447454258786,0.002815717288354705
bert,snli_test,True,max_softmax,0.7,0.9700450777955504,0.001308710193398288,0.9687227176080605,0.0014284585502063716
bert,snli_test,True,max_softmax,0.8,0.9610262934690416,0.0019475763364215296,0.9598954958432145,0.0018733468096865133
bert,snli_test,True,max_softmax,0.9,0.9421322476061222,0.002400029260709775,0.9413434485360949,0.002348262751003824
bert,snli_test,True,max_softmax,0.95,0.9255687703132255,0.0027303139188708347,0.9249873554727821,0.002683924111700393
compact,hans,False,entropy,0.7,0.49282539682539683,0.00515789981107361,0.4805755074149036,0.018293288983375622
compact,hans,False,entropy,0.8,0.4929722222222222,0.003895406245157881,0.4812167607631015,0.017930135414896534
compact,hans,False,entropy,0.9,0.49361728395061727,0.0046401854968203355,0.4833679493957676,0.013865803330291637
compact,hans,False,entropy,0.95,0.4936608187134503,0.0044709428592044995,0.4842515722608704,0.012340082922762716
compact,hans,False,margin,0.7,0.49282539682539683,0.00515789981107361,0.4805755074149036,0.018293288983375622
compact,hans,False,margin,0.8,0.4929722222222222,0.003895406245157881,0.4812167607631015,0.017930135414896534
compact,hans,False,margin,0.9,0.49361728395061727,0.0046401854968203355,0.4833679493957676,0.013865803330291637
compact,hans,False,margin,0.95,0.4936608187134503,0.0044709428592044995,0.4842515722608704,0.012340082922762716
compact,hans,False,max_softmax,0.7,0.49282539682539683,0.00515789981107361,0.4805755074149036,0.018293288983375622
compact,hans,False,max_softmax,0.8,0.4929722222222222,0.003895406245157881,0.4812167607631015,0.017930135414896534
compact,hans,False,max_softmax,0.9,0.49361728395061727,0.0046401854968203355,0.4833679493957676,0.013865803330291637
compact,hans,False,max_softmax,0.95,0.4936608187134503,0.0044709428592044995,0.4842515722608704,0.012340082922762716
compact,hans,True,entropy,0.7,0.4923492063492063,0.00520015116938241,0.48204016946195066,0.015227186179856926
