coverage_target,n_accepted,accuracy,macro_f1,score_name,split_name,model_name,seed,calibrated
0.95,9341,0.4317524890268708,0.4240982011397101,margin,mnli_mismatched,compact,17,True
0.9,8849,0.43620748107130747,0.4280444245504396,margin,mnli_mismatched,compact,17,True
0.8,7866,0.4430460208492245,0.43306631807093227,margin,mnli_mismatched,compact,17,True
0.7,6883,0.4476245823042278,0.4363941459945509,margin,mnli_mismatched,compact,17,True
0.95,9341,0.4312172144310031,0.42308006742620724,entropy,mnli_mismatched,compact,17,True
0.9,8849,0.4336083173239914,0.4242129845275695,entropy,mnli_mismatched,compact,17,True
0.8,7866,0.44024917365878463,0.42860794242463096,entropy,mnli_mismatched,compact,17,True
0.7,6883,0.4512567194537266,0.4377442713781683,entropy,mnli_mismatched,compact,17,True
0.95,28500,0.494280701754386,0.4939675310464438,max_softmax,hans,compact,17,False
0.9,27000,0.4945185185185185,0.49423434621153395,max_softmax,hans,compact,17,False
0.8,24000,0.4947916666666667,0.49463467966770536,max_softmax,hans,compact,17,False
0.7,21000,0.4949047619047619,0.4948885422146175,max_softmax,hans,compact,17,False
0.95,28500,0.494280701754386,0.4939675310464438,margin,hans,compact,17,False
0.9,27000,0.4945185185185185,0.49423434621153395,margin,hans,compact,17,False
0.8,24000,0.4947916666666667,0.49463467966770536,margin,hans,compact,17,False
0.7,21000,0.4949047619047619,0.4948885422146175,margin,hans,compact,17,False
0.95,28500,0.494280701754386,0.4939675310464438,entropy,hans,compact,17,False
0.9,27000,0.4945185185185185,0.49423434621153395,entropy,hans,compact,17,False
0.8,24000,0.4947916666666667,0.49463467966770536,entropy,hans,compact,17,False
0.7,21000,0.4949047619047619,0.4948885422146175,entropy,hans,compact,17,False
0.95,28500,0.49435087719298243,0.4943091138807858,max_softmax,hans,compact,17,True
0.9,27000,0.4945555555555556,0.49453758286513777,max_softmax,hans,compact,17,True
0.8,24000,0.494875,0.49487453609137083,max_softmax,hans,compact,17,True
0.7,21000,0.49476190476190474,0.49464160883793507,max_softmax,hans,compact,17,True
0.95,28500,0.49435087719298243,0.4943091138807858,margin,hans,compact,17,True
0.9,27000,0.4945555555555556,0.49453758286513777,margin,hans,compact,17,True
0.8,24000,0.494875,0.49487453609137083,margin,hans,compact,17,True
0.7,21000,0.49476190476190474,0.49464160883793507,margin,hans,compact,17,True
0.95,28500,0.49435087719298243,0.4943091138807858,entropy,hans,compact,17,True
0.9,27000,0.4945555555555556,0.49453758286513777,entropy,hans,compact,17,True
0.8,24000,0.494875,0.49487453609137083,entropy,hans,compact,17,True
0.7,21000,0.49476190476190474,0.49464160883793507,entropy,hans,compact,17,True
0.95,9333,0.7733847637415622,0.7715346711811776,max_softmax,snli_test,compact,42,False
0.9,8842,0.7886224836009953,0.7864056966372045,max_softmax,snli_test,compact,42,False
0.8,7860,0.8150127226463104,0.8121401334350272,max_softmax,snli_test,compact,42,False
0.7,6877,0.8454267849352916,0.841829276423408,max_softmax,snli_test,compact,42,False
0.95,9333,0.769313189756777,0.7672767634373369,margin,snli_test,compact,42,False
0.9,8842,0.786134358742366,0.7837456044452554,margin,snli_test,compact,42,False
0.8,7860,0.8145038167938932,0.8114087522959014,margin,snli_test,compact,42,False
0.7,6877,0.8460084339101352,0.8424768079101396,margin,snli_test,compact,42,False
0.95,9333,0.7726347369548913,0.7708062090904179,entropy,snli_test,compact,42,False
0.9,8842,0.786926034833748,0.7850623986749318,entropy,snli_test,compact,42,False
0.8,7860,0.8183206106870229,0.8162143876538052,entropy,snli_test,compact,42,False
0.7,6877,0.8439726624981824,0.8407965595157251,entropy,snli_test,compact,42,False
0.95,9333,0.7731704703739419,0.771340883698454,max_softmax,snli_test,compact,42,True
0.9,8842,0.7888486767699615,0.7867615105336127,max_softmax,snli_test,compact,42,True
0.8,7860,0.8148854961832062,0.8119910488234184,max_softmax,snli_test,compact,42,True
0.7,6877,0.8445543114730261,0.8410775920577708,max_softmax,snli_test,compact,42,True
0.95,9333,0.7694203364405872,0.7673799015659458,margin,snli_test,compact,42,True
0.9,8842,0.786134358742366,0.7837456044452554,margin,snli_test,compact,42,True
0.8,7860,0.8145038167938932,0.8114122669048632,margin,snli_test,compact,42,True
0.7,6877,0.8460084339101352,0.8424658427316561,margin,snli_test,compact,42,True
0.95,9333,0.7725275902710811,0.7707025317642185,entropy,snli_test,compact,42,True
0.9,8842,0.7865867450802986,0.7847344642623427,entropy,snli_test,compact,42,True
0.8,7860,0.8169211195928753,0.8149218435201123,entropy,snli_test,compact,42,True
0.7,6877,0.8420823033299404,0.8392208060499673,entropy,snli_test,compact,42,True
0.95,9325,0.456514745308311,0.4551795748350264,max_softmax,mnli_matched,compact,42,False
0.9,8834,0.461738736699117,0.46046982057182895,max_softmax,mnli_matched,compact,42,False
0.8,7852,0.47147223637289865,0.4702337838253478,max_softmax,mnli_matched,compact,42,False
0.7,6871,0.47649541551448116,0.47552363620889854,max_softmax,mnli_matched,compact,42,False
0.95,9325,0.4553351206434316,0.45405640934565566,margin,mnli_matched,compact,42,False
0.9,8834,0.4626443287299072,0.4613868415394505,margin,mnli_matched,compact,42,False
0.8,7852,0.4695618950585838,0.4684743972247453,margin,mnli_matched,compact,42,False
0.7,6871,0.47474894484063457,0.47379183215555093,margin,mnli_matched,compact,42,False
0.95,9325,0.45694369973190346,0.4555777845394557,entropy,mnli_matched,compact,42,False
0.9,8834,0.46139913968757074,0.45998353233750916,entropy,mnli_matched,compact,42,False
0.8,7852,0.467396841569027,0.4658953304661599,entropy,mnli_matched,compact,42,False
0.7,6871,0.47562218017755786,0.47427591908788513,entropy,mnli_matched,compact,42,False
0.95,9325,0.4567292225201072,0.45540032560717036,max_softmax,mnli_matched,compact,42,True
0.9,8834,0.4625311297260584,0.46126693262703694,max_softmax,mnli_matched,compact,42,True
0.8,7852,0.4708354559347937,0.46945453469822734,max_softmax,mnli_matched,compact,42,True
0.7,6871,0.4762043370688401,0.47507495891915624,max_softmax,mnli_matched,compact,42,True
0.95,9325,0.4552278820375335,0.45396445569652344,margin,mnli_matched,compact,42,True
0.9,8834,0.4626443287299072,0.46138787812883275,margin,mnli_matched,compact,42,True
0.8,7852,0.4696892511462048,0.4685744680771393,margin,mnli_matched,compact,42,True
0.7,6871,0.474603405617814,0.4736266521093005,margin,mnli_matched,compact,42,True
0.95,9325,0.4570509383378016,0.45571556684138775,entropy,mnli_matched,compact,42,True
0.9,8834,0.461285940683722,0.4598811958887293,entropy,mnli_matched,compact,42,True
0.8,7852,0.46803362200713194,0.4666054843747108,entropy,mnli_matched,compact,42,True
0.7,6871,0.4748944840634551,0.4735062830999674,entropy,mnli_matched,compact,42,True
0.95,9341,0.4614067016379403,0.46176430728043694,max_softmax,mnli_mismatched,compact,42,False
0.9,8849,0.4645722680528873,0.46472785940022704,max_softmax,mnli_mismatched,compact,42,False
0.8,7866,0.47406559877955756,0.4743118856039655,max_softmax,mnli_mismatched,compact,42,False
0.7,6883,0.48409123928519543,0.48407829323547896,max_softmax,mnli_mismatched,compact,42,False
0.95,9341,0.4614067016379403,0.4617641612070229,margin,mnli_mismatched,compact,42,False
0.9,8849,0.4644592609334388,0.4648698286007871,margin,mnli_mismatched,compact,42,False
0.8,7866,0.47609966946351384,0.4763946777163958,margin,mnli_mismatched,compact,42,False
0.7,6883,0.4832195263693157,0.48319042422381386,margin,mnli_mismatched,compact,42,False
0.95,9341,0.4612996467187667,0.4615520365849948,entropy,mnli_mismatched,compact,42,False
0.9,8849,0.46423324669454175,0.4644514934431576,entropy,mnli_mismatched,compact,42,False
0.8,7866,0.47050597508263414,0.4705476223067693,entropy,mnli_mismatched,compact,42,False
0.7,6883,0.48162138602353627,0.48100115940741744,entropy,mnli_mismatched,compact,42,False
0.95,9341,0.4612996467187667,0.46166732036138886,max_softmax,mnli_mismatched,compact,42,True
0.9,8849,0.4649112894112329,0.46499783713263404,max_softmax,mnli_mismatched,compact,42,True
0.8,7866,0.4744469870327994,0.4746897267533489,max_softmax,mnli_mismatched,compact,42,True
0.7,6883,0.48394595379921546,0.4838736173321621,max_softmax,mnli_mismatched,compact,42,True
0.95,9341,0.4614067016379403,0.4617731493286359,margin,mnli_mismatched,compact,42,True
0.9,8849,0.4645722680528873,0.46498992798657185,margin,mnli_mismatched,compact,42,True
0.8,7866,0.4759725400457666,0.4762523258844378,margin,mnli_mismatched,compact,42,True
0.7,6883,0.4832195263693157,0.4832144505118565,margin,mnli_mismatched,compact,42,True
0.95,9341,0.4611925917995932,0.46144199825967025,entropy,mnli_mismatched,compact,42,True
0.9,8849,0.4643462538139903,0.46452908461743375,entropy,mnli_mismatched,compact,42,True
0.8,7866,0.47050597508263414,0.4705063546184145,entropy,mnli_mismatched,compact,42,True
0.7,6883,0.48045910213569665,0.47973567559124247,entropy,mnli_mismatched,compact,42,True
0.95,28500,0.4977894736842105,0.4703670899351401,max_softmax,hans,compact,42,False
0.9,27000,0.49774074074074076,0.4677513543455036,max_softmax,hans,compact,42,False
0.8,24000,0.495625,0.4608527895862117,max_softmax,hans,compact,42,False
0.7,21000,0.4966190476190476,0.4599654701058955,max_softmax,hans,compact,42,False
0.95,28500,0.4977894736842105,0.4703670899351401,margin,hans,compact,42,False
0.9,27000,0.49774074074074076,0.4677513543455036,margin,hans,compact,42,False
0.8,24000,0.495625,0.4608527895862117,margin,hans,compact,42,False
0.7,21000,0.4966190476190476,0.4599654701058955,margin,hans,compact,42,False
