model_name,split_name,calibrated,accuracy__mean,accuracy__std,macro_f1__mean,macro_f1__std,f1_entailment__mean,f1_entailment__std,f1_neutral__mean,f1_neutral__std,f1_contradiction__mean,f1_contradiction__std,nll__mean,nll__std,brier__mean,brier__std,ece__mean,ece__std,mce__mean,mce__std
bert,mnli_matched,False,0.7442350144336899,0.007164131800192156,0.7419330050480991,0.006775004385767526,0.7830720663019634,0.012591062628446807,0.6860123442226361,0.0029712006044749295,0.7567146046196976,0.008560051138847115,0.7533538858558083,0.011761411882350373,0.3862054596102083,0.004846401299351599,0.12231236886625925,0.008096539090749883,0.20301087447489471,0.018799208524917517
bert,mnli_matched,True,0.7442350144336899,0.007164131800192156,0.7419330050480991,0.006775004385767526,0.7830720663019634,0.012591062628446807,0.6860123442226361,0.0029712006044749295,0.7567146046196976,0.008560051138847115,0.6875350337904432,0.0020895802737997946,0.37328634584942605,0.005472475981045712,0.09006064024273579,0.00911466798566767,0.14862301565418293,0.01602901812644468
bert,mnli_mismatched,False,0.7419311093029562,0.011757074787931063,0.7383521494222833,0.012014239293570917,0.7808929087217935,0.012445915494148252,0.6715575932479433,0.015193216686158131,0.762605946297113,0.009405762638354766,0.767507636600333,0.023104056625966863,0.3939449407162107,0.007617655342983574,0.12976547385077666,0.0068497507129938575,0.22199375714504554,0.008157560139819432
bert,mnli_mismatched,True,0.7419311093029562,0.011757074787931063,0.7383521494222833,0.012014239293570917,0.7808929087217935,0.012445915494148252,0.6715575932479433,0.015193216686158131,0.762605946297113,0.009405762638354766,0.6970098492219067,0.01242155885510324,0.37979034835570014,0.0069433485685661284,0.09812386762345747,0.007224090767230709,0.17416463417872355,0.016975546268323618
bert,snli_test,False,0.9051981541802387,0.002527082815060448,0.9049411853512049,0.002523414903363484,0.9130302753192119,0.0013086200401550255,0.8705627199898697,0.001491103182567888,0.9312305607445329,0.004916037218593536,0.3045283643035077,0.007479118057788867,0.1508916570721017,0.004070866322018605,0.04366272469996663,0.001871422786110005,0.2523058756364738,0.09849084501268945
bert,snli_test,True,0.9051981541802387,0.002527082815060448,0.9049411853512049,0.002523414903363484,0.9130302753192119,0.0013086200401550255,0.8705627199898697,0.001491103182567888,0.9312305607445329,0.004916037218593536,0.2819446444910277,0.007809609378555612,0.14707607418658372,0.004099568243228706,0.025085002015042435,0.0016076433021144246,0.15800571424992185,0.08276165781642203
compact,mnli_matched,False,0.43980302258447956,0.013542003021084216,0.43680618566086354,0.01583616353191711,0.4103812117973087,0.04521652662161202,0.45945723316805903,0.006400593764727043,0.44058011201722264,0.012863227151482628,1.4971443583828752,0.11304925959452884,0.790075878384231,0.03240499110738021,0.27973815517284645,0.025231659341051645,0.4470547072676685,0.03410248048384321
compact,mnli_matched,True,0.43980302258447956,0.013542003021084216,0.43680618566086354,0.01583616353191711,0.4103812117973087,0.04521652662161202,0.45945723316805903,0.006400593764727043,0.44058011201722264,0.012863227151482628,1.3707739547090947,0.08999550172247663,0.7599561773356013,0.030329191194035206,0.24509373186885205,0.025244142390735712,0.4278434291326609,0.022968373495444918
compact,mnli_mismatched,False,0.44687415242744777,0.016662957348129868,0.44430614814313363,0.020633626606254535,0.4033804822000107,0.058362967379550934,0.45829683559780227,0.005710119296665158,0.47124112663158785,0.0009999258534439056,1.4429462854885582,0.11101843512566435,0.7740426005373918,0.03742229355307687,0.2699382730082975,0.03007161863882803,0.42833131886631487,0.03112923860279035
compact,mnli_mismatched,True,0.44687415242744777,0.016662957348129868,0.44430614814313363,0.020633626606254535,0.4033804822000107,0.058362967379550934,0.45829683559780227,0.005710119296665158,0.47124112663158785,0.0009999258534439056,1.3261344290284889,0.08823937670019309,0.7445796875293281,0.03437822800749675,0.23512060318474592,0.02984901771245316,0.40212396445142556,0.030276291389372514
compact,snli_test,False,0.7512554288816503,0.007547231680394772,0.7497387771764266,0.007480524393850888,0.793389948521579,0.0133431279642037,0.69466256535729,0.007648081482089098,0.7611638176504107,0.0028243396937079517,0.6400781677154277,0.022227069988736164,0.3562124604597348,0.010215571770496633,0.05768151950176064,0.004459281874048678,0.09441228100926546,0.005253887738257453
compact,snli_test,True,0.7512554288816503,0.007547231680394772,0.7497387771764266,0.007480524393850888,0.793389948521579,0.0133431279642037,0.69466256535729,0.007648081482089098,0.7611638176504107,0.0028243396937079517,0.6202608581340876,0.020682624697845934,0.35138123988084774,0.010250108505696019,0.02741866564452972,0.00194310334013441,0.04999795976745077,0.004788788439449164
